age_group,year,access_to_internet,sent_received_emails,instant_messaging,social_media,voice_calls,dating_apps,news,research,health_research,events_research,services_research,music,podcasts,video_streaming,video_sharing_websites,subscription_video,sports,eSports,video_game_stream,tv,books_magazines,play_video_games,gambling,buy_online_boards,search_jobs,online_banking,online_investing,virtual_wallet,online_formal_training,informal_training,booked_appointments,track_health,online_gov_services,smart_home,online_shopping,digital_goods,physical_goods,peer_ride_services,peer_accomodation_services,other,prop_use_internet,prop_stream_videos,prop_play_video_games,less_than_ten_hours_internet,less_than_ten_hrs_stream_video,less_than_ten_hrs_play_video_games,ten_to_twenty_hrs_internet,ten_to_twenty_hrs_stream_video,ten_to_twenty_hrs_play_video_games,twenty_plus_internet,twenty_plus_stream_videos,twenty_plus_play_videos,work,school,public_library,public_location,business,home,someone_else_home
15 to 24 years,2018,98.6,92.3,89.6,91.1,68.1,11.0,71.4,88.4,,,,94.3,35.8,79.1,91.9,15.3,,,,33.8,34.3,57.5,1.5,,35.7,69.4,,22.3,20.9,37.5,31.5,,62.0,35.6,86.8,68.4,73.9,25.3,13.2,55.8,,,,,,,,,,,,,,,,,,,
15 to 24 years,2020,98.0,90.5,93.1,91.3,80.1,14.9,76.9,,68.9,41.1,72.4,94.9,49.4,86.4,91.1,,23.4,15.2,36.2,36.1,,65.7,3.7,35.7,38.3,70.1,,17.7,47.2,24.2,42.9,30.9,71.5,53.5,89.8,77.2,82.2,,8.2,57.3,98.0,96.5,65.7,36.3,38.2,39.5,19.1,31.2,9.8,42.5,25.4,14.8,38.8,35.6,4.8,28.7,34.4,92.5,49.9
15 to 24 years,2022,99.2,93.3,92.1,90.5,81.8,14.8,75.9,,67.9,,79.9,95.5,50.8,90.1,,,,,,,,72.7,5.2,36.1,39.7,73.5,16.5,,33.6,24.3,53.6,30.8,71.8,60.2,,,,,,,99.2,98.4,72.7,24.7,31.8,35.5,32.1,38.6,20.3,42.3,25.9,15.0,45.4,62.9,17.3,37.8,39.7,94.0,60.2
25 to 44 years,2018,98.2,94.2,88.6,86.4,60.5,8.3,83.7,90.9,,,,84.4,37.1,74.4,83.5,13.7,,,,31.5,31.0,37.5,2.9,,30.0,89.8,,20.4,20.9,37.1,48.7,,83.2,33.7,92.0,70.2,84.1,29.1,21.0,75.8,,,,,,,,,,,,,,,,,,,
25 to 44 years,2020,98.2,95.0,90.9,87.2,79.6,10.8,89.4,,80.9,55.6,84.3,90.6,46.6,85.9,88.1,,23.3,8.6,17.1,38.4,,42.1,5.7,49.6,30.5,89.0,,14.9,32.1,34.5,62.6,33.2,87.5,53.3,94.9,83.7,91.0,,15.3,66.9,98.2,96.0,42.1,41.9,46.3,29.3,21.8,28.0,6.8,34.5,20.3,5.2,51.5,6.1,3.5,24.6,28.5,91.4,39.0
25 to 44 years,2022,99.2,96.2,91.2,89.6,80.1,13.4,85.4,,78.4,,86.7,93.2,56.5,90.8,,,,,,,,49.2,7.4,47.5,32.5,89.1,22.8,,30.6,31.9,72.3,34.0,90.1,59.4,,,,,,,99.2,97.2,49.2,31.7,34.8,28.5,34.3,39.6,11.7,33.2,21.4,7.8,58.4,10.9,6.0,28.3,29.2,92.6,46.5
45 to 64 years,2018,93.9,87.8,68.6,62.8,40.1,2.6,73.1,82.6,,,,58.7,19.8,49.2,60.8,8.0,,,,22.5,22.2,20.0,1.9,,17.3,75.7,,8.2,11.1,21.0,32.2,,71.2,24.4,77.7,46.0,66.9,13.7,11.5,58.1,,,,,,,,,,,,,,,,,,,
45 to 64 years,2020,94.2,87.3,75.1,65.9,59.1,4.6,81.4,,68.4,44.4,74.6,68.5,27.6,62.6,70.1,,14.0,3.5,4.3,30.7,,24.9,4.0,35.2,17.3,78.1,,6.5,20.9,23.7,48.2,23.8,77.4,41.1,83.0,66.3,76.9,,8.0,47.2,94.2,82.6,24.9,51.2,48.8,19.1,20.3,20.6,3.3,22.6,11.9,2.0,38.2,3.3,2.3,20.6,24.4,85.4,26.4
45 to 64 years,2022,96.4,92.2,78.2,72.3,61.0,6.7,80.0,,70.7,,78.2,74.2,32.4,75.1,,,,,,,,25.9,4.9,35.9,19.9,81.9,14.9,,20.3,21.9,59.4,23.2,79.5,47.0,,,,,,,96.4,88.8,25.9,45.5,45.3,17.0,31.6,28.6,5.5,19.1,13.7,2.6,41.8,4.8,4.2,19.7,20.8,89.0,26.8
65 years and over,2018,71.2,62.9,33.6,32.4,21.2,0.8,46.7,56.9,,,,27.2,9.1,20.7,27.0,2.9,,,,10.7,12.2,15.4,0.7,,1.5,43.9,,2.3,2.0,8.3,16.6,,41.0,11.7,44.7,21.7,34.1,2.9,3.5,29.1,,,,,,,,,,,,,,,,,,,
