age_group,year,online_shopping,digital_goods,physical_goods,peer_ride_services,peer_accomodation_services,other
"Total, 15 years and over",2018,76.7,51.8,66.5,18,13.1,57.4
"Total, 15 years and over",2020,81.7,67.7,75.8,,9.3,49.3
15 to 24 years,2018,86.8,68.4,73.9,25.3,13.2,55.8
15 to 24 years,2020,89.8,77.2,82.2,,8.2,57.3
25 to 44 years,2018,92,70.2,84.1,29.1,21,75.8
25 to 44 years,2020,94.9,83.7,91,,15.3,66.9
45 to 64 years,2018,77.7,46,66.9,13.7,11.5,58.1
45 to 64 years,2020,83,66.3,76.9,,8,47.2
65 years and over,2018,44.7,21.7,34.1,2.9,3.5,29.1
65 years and over,2020,54.5,39,47.2,,3,21.1
