age_group,year,prop_use_internet,prop_stream_videos,prop_play_video_games,less_than_ten_hours_internet,less_than_ten_hrs_stream_video,less_than_ten_hrs_play_video_games,ten_to_twenty_hrs_internet,ten_to_twenty_hrs_stream_video,ten_to_twenty_hrs_play_video_games,twenty_plus_internet,twenty_plus_stream_videos,twenty_plus_play_videos
"Total, 15 years and over",2020,92.3,82.9,34.7,45.1,43.4,23.9,19.8,22.4,5.3,27.2,15.8,4.9
"Total, 15 years and over",2022,94.5,86.6,37.3,38.3,37.8,21.5,30.6,30.7,9.1,25.4,16.8,5.8
15 to 24 years,2020,98,96.5,65.7,36.3,38.2,39.5,19.1,31.2,9.8,42.5,25.4,14.8
15 to 24 years,2022,99.2,98.4,72.7,24.7,31.8,35.5,32.1,38.6,20.3,42.3,25.9,15
25 to 44 years,2020,98.2,96,42.1,41.9,46.3,29.3,21.8,28,6.8,34.5,20.3,5.2
25 to 44 years,2022,99.2,97.2,49.2,31.7,34.8,28.5,34.3,39.6,11.7,33.2,21.4,7.8
45 to 64 years,2020,94.2,82.6,24.9,51.2,48.8,19.1,20.3,20.6,3.3,22.6,11.9,2
45 to 64 years,2022,96.4,88.8,25.9,45.5,45.3,17,31.6,28.6,5.5,19.1,13.7,2.6
65 years and over,2020,76.3,53.9,17.3,46.8,34.3,12.3,16.6,10.3,2.8,12.6,8.5,1.9
65 years and over,2022,82.6,62.1,15.4,46.1,35.8,9.4,23.1,16.1,3.9,12.6,8.8,1.7
